Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,url,RISK1: supply chain,RISK1: supply chain (2),RISK1: supply chain (3),RISK2: Litigation,RISK3: Inflation,gvkey,lpermno,datadate,fyear,tic,sic,sic3,td,long_debt_dum,me,l_a,l_sale,div_d,age,atr,smalltaxlosscarry,largetaxlosscarry,l_emp,l_ppent,l_laborratio,Inv,Ch_Cash,Div,Ch_Debt,Ch_Eqty,Ch_WC,CF,td_a,td_mv,mb,prof_a,ppe_a,cash_a,xrd_a,dltt_a,invopps_FG09,sales_g,dv_a,short_debt,_merge
AFL,Aflac,reports,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,4977,1955,https://en.wikipedia.org/wiki/Aflac,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
A,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872,1999,https://en.wikipedia.org/wiki/Agilent_Technologies,0.0,0.0,1.0,0.0,0.0,126554.0,87432.0,2019-10-31,2019.0,A,3826.0,382.0,2407.0,1.0,23412.129,9.153981,8.5492735,1.0,0.0,0.0,1.0,0.0,2.8507066,6.7464123,3.9540713,0.16821836,-0.09162082,0.021794328,0.06347863,-0.07247143,0.015552264,0.10738468,0.2546551,0.09322546,2.974622,0.1347863,0.08992806,0.14621244,0.04274228,0.1894837,2.767827,,0.021794328,0.25592023,both
APD,Air Products & Chemicals,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,2969,1940,https://en.wikipedia.org/wiki/Air_Products_%26_Chemicals,0.0,0.0,1.0,0.0,0.0,1209.0,28222.0,2019-09-30,2019.0,APD,2810.0,281.0,3326.0,1.0,48901.273,9.849179,9.095928,1.0,0.0,0.2143208,1.0,0.0,2.9285235,9.24364,6.3699784,0.11156745,-0.028644128,0.052473765,-0.022420129,0.0035950334,-0.002607851,0.15422218,0.17558122,0.063683204,2.9979978,0.16910383,0.54572713,0.12747324,0.003848428,0.17037608,2.7138522,,0.052473765,0.02964522,both
AKAM,Akamai Technologies,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1086222,1998,https://en.wikipedia.org/wiki/Akamai_Technologies,0.0,0.0,1.0,0.0,0.0,125595.0,87299.0,2019-12-31,2019.0,AKAM,7370.0,737.0,2671.435,1.0,13993.646,8.854649,7.9702625,0.0,0.0,0.10039802,1.0,0.0,2.1660779,7.5556974,5.510842,0.23804212,-0.09174418,0.0,0.06359872,-0.050332345,0.033038355,0.13303156,0.38125852,0.16030134,2.475076,0.14125447,0.27267504,0.2193548,0.037301164,0.36135483,2.382912,,0.0,0.052205276,both
ALK,Alaska Air Group,reports,Industrials,Airlines,"Seattle, Washington",2016-05-13,766421,1985,https://en.wikipedia.org/wiki/Alaska_Air_Group,0.0,0.0,1.0,0.0,0.0,1230.0,28804.0,2019-12-31,2019.0,ALK,4512.0,451.0,3207.0,1.0,8333.25,9.472166,9.080345,1.0,0.0,0.24311024,1.0,0.0,3.2242215,9.061144,5.877406,0.060878936,0.0090818135,0.013314862,-0.04679443,-0.005772339,-0.030785808,0.13584238,0.24682522,0.27789694,1.3080312,0.11775571,0.6628954,0.11706303,0.0,0.2080351,0.834615,,0.013314862,0.15715621,both
ALB,Albemarle Corporation,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,915913,1994,https://en.wikipedia.org/wiki/Albemarle_Corporation,0.0,0.0,1.0,0.0,0.0,29751.0,80191.0,2019-12-31,2019.0,ALB,2810.0,281.0,3188.08,1.0,7745.1616,9.196329,8.185748,1.0,0.0,0.14187731,0.0,1.0,1.9459101,8.526022,6.7340636,0.16870987,0.005860542,0.015435159,0.13145179,-0.0006304722,0.021241447,0.059184268,0.32330638,0.29159513,1.3866712,0.09899073,0.5114499,0.0621761,0.0059109433,0.3019621,1.0677297,,0.01543516,0.06601873,both
ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1035443,1994,https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
ALXN,Alexion Pharmaceuticals,reports,Health Care,Pharmaceuticals,"Boston, Massachusetts",2012-05-25,899866,1992,https://en.wikipedia.org/wiki/Alexion_Pharmaceuticals,0.0,0.0,1.0,0.0,0.0,62263.0,83111.0,2019-12-31,2019.0,ALXN,2836.0,283.0,2762.7,1.0,23933.596,9.772502,8.515411,0.0,0.0,0.0,1.0,0.0,1.4065871,7.2213244,6.0950146,-0.0005528767,0.07730584,0.0,-0.019835163,-0.022006772,0.016039122,0.11859489,0.15746725,0.10348626,1.7216918,0.14316656,0.07793281,0.1588694,0.05026618,0.14887771,1.4147019,,0.0,0.05454809,both
ALGN,Align Technology,reports,Health Care,Health Care Supplies,"San Jose, California",2017-06-19,1097149,1997,https://en.wikipedia.org/wiki/Align_Technology,0.0,0.0,1.0,0.0,0.0,141384.0,88860.0,2019-12-31,2019.0,ALGN,3843.0,384.0,59.2,1.0,21885.943,7.824327,7.7860518,0.0,0.0,0.20238218,1.0,0.0,2.7427735,6.5352035,3.8575356,0.14013825,-0.034563094,0.0,-0.01830406,-0.17585742,-0.030076753,0.29973665,0.023673354,0.0026976357,9.213604,0.23732255,0.27511236,0.34735325,0.06292673,0.01738032,8.886138,,0.0,0.2658277,both
ALLE,Allegion,reports,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908,https://en.wikipedia.org/wiki/Allegion,0.0,0.0,1.0,0.0,0.0,316056.0,14297.0,2019-12-31,2019.0,ALLE,3420.0,342.0,1509.1,1.0,11547.847,7.995374,7.9564767,1.0,0.0,0.15392715,0.0,1.0,2.4849067,5.923721,3.5231469,0.026152601,0.02295093,0.033904016,-0.0060326234,-0.073975466,0.008897277,0.16301565,0.508594,0.11557832,4.6365757,0.21949987,0.12564033,0.12088838,0.018434888,0.4998652,,,0.033904016,0.017162548,both
